Question ID,Question Text,Response Text,Num Valid Segments,MinAgree_100pct,MinAgree_95pct,MinAgree_90pct,MinAgree_80pct,MinAgree_70pct,MinAgree_60pct,MinAgree_50pct,MinAgree_40pct,MinAgree_30pct,MinAgree_20pct,MinAgree_10pct
f856e114-6b61-41f4-bf30-18825f1493f7,We asked some AI’s what question they would like to ask humans about understanding animal communications. This is what they came up with:   “How might advancements in understanding animal languages transform our ethical responsibilities towards non-human species”,We can come up with many ideas that can save many non human species from going extinct and also better care and many medical support if they are injured and they help us in warning about disasters and many other things that would benefit both entities,97,0.6500,0.6700,0.7200,0.7500,0.7700,0.7800,0.7800,0.7900,0.8000,0.8100,0.8400
80d30282-5bd5-44d4-a5a5-ec24da4a7262,Branch C - Please explain your response,"making animals legal creatures provides official protection and provides a voice regarding matters influencing them. This is not empathy it turns to enforceable justice, where their interests are legally guarded.
",37,0.6400,0.6400,0.6500,0.6700,0.6800,0.6900,0.7000,0.7200,0.7400,0.7500,0.8900
80d30282-5bd5-44d4-a5a5-ec24da4a7262,Branch C - Please explain your response,Legal rights can be more trusted. ,37,0.6300,0.6500,0.6600,0.6700,0.6800,0.6900,0.7100,0.7100,0.7300,0.7400,0.7900
80d30282-5bd5-44d4-a5a5-ec24da4a7262,Branch C - Please explain your response,They would have more rights because they would be able to be understood.,37,0.6200,0.6300,0.6300,0.6300,0.6600,0.6700,0.7000,0.7100,0.7200,0.7300,0.7900
80d30282-5bd5-44d4-a5a5-ec24da4a7262,Branch C - Please explain your response,"Since animals can speak, they have inherent rights and should be protected.",37,0.6200,0.6300,0.6300,0.6300,0.6500,0.6700,0.7000,0.7200,0.7200,0.7500,0.8000
8e78a0f1-558b-492b-a752-213c11d60b33,What might be the most profound change to human society if animal and ecosystem voices were taken seriously in our laws and systems?,maybe a more ecocentric world and protecting plus prioritizing other beings as well ,97,0.6100,0.6400,0.6600,0.7000,0.7200,0.7400,0.7400,0.7500,0.7600,0.7800,0.8400
f856e114-6b61-41f4-bf30-18825f1493f7,We asked some AI’s what question they would like to ask humans about understanding animal communications. This is what they came up with:   “How might advancements in understanding animal languages transform our ethical responsibilities towards non-human species”,"I think humans are already not ethical, they do what they feel best for them, ethical is out of question, animals are being raised for slaughter so what else can be said, more technology to understand animals will only lead to more misuse in my opinion",97,0.6100,0.6700,0.6900,0.7300,0.7500,0.7500,0.7600,0.7600,0.7700,0.8000,0.8100
8e78a0f1-558b-492b-a752-213c11d60b33,What might be the most profound change to human society if animal and ecosystem voices were taken seriously in our laws and systems?,Connect with nature and environment for sustainable livelihood and conservation of resources. ,97,0.6100,0.6300,0.6500,0.6900,0.7300,0.7400,0.7500,0.7600,0.7700,0.7900,0.8200
8e78a0f1-558b-492b-a752-213c11d60b33,What might be the most profound change to human society if animal and ecosystem voices were taken seriously in our laws and systems?,the society world wide would be more environmental conscious and have more broader perspective as a society.,97,0.6100,0.6300,0.6500,0.7100,0.7300,0.7400,0.7500,0.7600,0.7700,0.7900,0.8300
80d30282-5bd5-44d4-a5a5-ec24da4a7262,Branch C - Please explain your response,the people are guided by rights in constitution and rule of law so having legal rights protect the animals too,37,0.6100,0.6300,0.6500,0.6600,0.6700,0.6700,0.7000,0.7000,0.7100,0.7500,0.7600
8e78a0f1-558b-492b-a752-213c11d60b33,What might be the most profound change to human society if animal and ecosystem voices were taken seriously in our laws and systems?,People may have a deeper environmental awareness and be able to think not only about human interests,97,0.6000,0.6100,0.6500,0.7000,0.7200,0.7300,0.7400,0.7600,0.7700,0.7800,0.8500
f856e114-6b61-41f4-bf30-18825f1493f7,We asked some AI’s what question they would like to ask humans about understanding animal communications. This is what they came up with:   “How might advancements in understanding animal languages transform our ethical responsibilities towards non-human species”,It will really raise the bar for animal rights and more people will be vegan,97,0.6000,0.6500,0.6700,0.6800,0.6900,0.7000,0.7100,0.7200,0.7300,0.7500,0.7900
8e78a0f1-558b-492b-a752-213c11d60b33,What might be the most profound change to human society if animal and ecosystem voices were taken seriously in our laws and systems?,"Our ecological environment will no longer be based primarily on human suitability, but will become more comprehensive",97,0.6000,0.6300,0.6500,0.7100,0.7300,0.7400,0.7500,0.7700,0.7800,0.8000,0.8300
8e78a0f1-558b-492b-a752-213c11d60b33,What might be the most profound change to human society if animal and ecosystem voices were taken seriously in our laws and systems?,"If our laws and systems take the voices of animals and ecosystems seriously, it will greatly improve the ecological environment on Earth, but it will affect the development of some industries and may affect the global economic situation in the short term.",97,0.6000,0.6300,0.6700,0.7200,0.7400,0.7500,0.7700,0.7800,0.8000,0.8200,0.8400
f856e114-6b61-41f4-bf30-18825f1493f7,We asked some AI’s what question they would like to ask humans about understanding animal communications. This is what they came up with:   “How might advancements in understanding animal languages transform our ethical responsibilities towards non-human species”,we would have to drastically increase protection laws ,97,0.6000,0.6500,0.6500,0.6800,0.6800,0.7000,0.7100,0.7200,0.7300,0.7500,0.8000
80d30282-5bd5-44d4-a5a5-ec24da4a7262,Branch C - Please explain your response,"More than building relationships, protecting animals through legal rights is extremely important ",37,0.5900,0.5900,0.6300,0.6300,0.6600,0.6700,0.6900,0.7200,0.7200,0.7500,0.8500
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,maybe communication discipline needs boundaries,97,0.5900,0.5900,0.6400,0.6700,0.6800,0.6900,0.7100,0.7200,0.7300,0.7500,0.8100
f856e114-6b61-41f4-bf30-18825f1493f7,We asked some AI’s what question they would like to ask humans about understanding animal communications. This is what they came up with:   “How might advancements in understanding animal languages transform our ethical responsibilities towards non-human species”,It would deepen human and corporate responsibilities in relation to other species in ways we can’t even fully anticipate right now,97,0.5900,0.6700,0.6900,0.7000,0.7100,0.7200,0.7300,0.7400,0.7500,0.7700,0.7900
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,I would set laws that prohibit humans from entering wildlife and ecosystems.,97,0.5900,0.6300,0.6600,0.6900,0.7100,0.7300,0.7300,0.7500,0.7500,0.7700,0.7900
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,I think we should give all of this to a profesional that have being certified cause in this case i believe quality much matter than quantity of people ,97,0.5900,0.6500,0.6700,0.6900,0.7000,0.7200,0.7300,0.7400,0.7500,0.7600,0.8100
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,To change their nature and manipulate them,97,0.5900,0.6200,0.6300,0.6900,0.7000,0.7200,0.7300,0.7400,0.7400,0.7500,0.7800
8e78a0f1-558b-492b-a752-213c11d60b33,What might be the most profound change to human society if animal and ecosystem voices were taken seriously in our laws and systems?,A profound change could be improving the quality of life of the environment,97,0.5900,0.6000,0.6500,0.7300,0.7400,0.7600,0.7700,0.7900,0.8100,0.8300,0.8500
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,"Using animals as servants to humans, for example horses or camels are being used for humans comfort of movement; monkeys, donkeys and other species are often used by people in circuses for so called 'entertainment' and that should be completely prohibited.",97,0.5900,0.6400,0.6700,0.6900,0.7200,0.7200,0.7300,0.7400,0.7400,0.7500,0.7800
