"Question ID","Participant ID","Thought A ID","Thought B ID","Vote","Timestamp"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","56efba8c-30e1-4244-b584-a42a10eeeeb0","67913d34-123a-4cac-ba5f-e581da239882","6afe98b7-ba77-48b8-b701-e8c23b8c54c1","Thought B","August 27, 2025 at 8:29 AM (GMT)"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","56efba8c-30e1-4244-b584-a42a10eeeeb0","2cbf4fd4-10ab-483f-99d7-4cc97df1a632","3f875cba-8297-4bcd-9132-adc1e63c517a","Thought B","August 27, 2025 at 8:29 AM (GMT)"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","56efba8c-30e1-4244-b584-a42a10eeeeb0","3f875cba-8297-4bcd-9132-adc1e63c517a","6afe98b7-ba77-48b8-b701-e8c23b8c54c1","Thought A","August 27, 2025 at 8:29 AM (GMT)"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","56efba8c-30e1-4244-b584-a42a10eeeeb0","42ceddba-854b-4c06-a4ce-08a6cefc40bd","6afe98b7-ba77-48b8-b701-e8c23b8c54c1","Thought A","August 27, 2025 at 8:29 AM (GMT)"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","11f2674a-fc80-4188-be6e-010487ab72e7","67913d34-123a-4cac-ba5f-e581da239882","e07a15bf-0fef-4ae8-9a70-a24e5d581210","Thought A","August 27, 2025 at 8:29 AM (GMT)"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","56efba8c-30e1-4244-b584-a42a10eeeeb0","42ceddba-854b-4c06-a4ce-08a6cefc40bd","e07a15bf-0fef-4ae8-9a70-a24e5d581210","Thought A","August 27, 2025 at 8:29 AM (GMT)"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","e0df969f-a767-4045-97ce-3e16029e386c","3f875cba-8297-4bcd-9132-adc1e63c517a","42ceddba-854b-4c06-a4ce-08a6cefc40bd","Thought B","August 27, 2025 at 8:29 AM (GMT)"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","e0df969f-a767-4045-97ce-3e16029e386c","6afe98b7-ba77-48b8-b701-e8c23b8c54c1","e07a15bf-0fef-4ae8-9a70-a24e5d581210","Thought A","August 27, 2025 at 8:29 AM (GMT)"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","11f2674a-fc80-4188-be6e-010487ab72e7","b3ed530f-ed88-44ca-b959-f963e32e590b","e07a15bf-0fef-4ae8-9a70-a24e5d581210","Thought B","August 27, 2025 at 8:29 AM (GMT)"
"2582d6cd-152b-4b10-9b3d-1565307f8a92","e0df969f-a767-4045-97ce-3e16029e386c","3f875cba-8297-4bcd-9132-adc1e63c517a","e07a15bf-0fef-4ae8-9a70-a24e5d581210","Thought B","August 27, 2025 at 8:29 AM (GMT)"
