Participant ID,Duration_seconds,LowQualityTag_Perc,UniversalDisagreement_Perc,ASC_Score_Raw,Duration_Norm,LowQualityTag_Norm,UniversalDisagreement_Norm,ASC_Norm,PRI_Score_Heuristic,PRI_Score,PRI_Scale_1_5
3594fb6c-652e-4949-9342-b30244fb3b01,960.0,0.0,0.0,0.0,0.16853932584269662,0.5,1.0,1.0,0.600561797752809,0.600561797752809,3.402247191011236
9c710e50-7968-48f7-9a9f-2894a784e341,960.0,0.0,0.0,0.6666666666666666,0.16853932584269662,0.5,1.0,0.33333333333333337,0.46722846441947563,0.46722846441947563,2.8689138576779025
78def003-f4c2-4800-af25-559a455206d0,1500.0,0.0,0.0,0.0,0.2696629213483146,0.5,1.0,1.0,0.6308988764044944,0.6308988764044944,3.5235955056179775
3d7ac658-ff86-4edc-beac-c8f991329384,2220.0,0.0,0.0,0.13333333333333333,0.4044943820224719,0.5,1.0,0.8666666666666667,0.644681647940075,0.644681647940075,3.5787265917603
b5b8a174-e332-416f-83d2-ff570a5b7b53,1800.0,0.0,0.0,0.4666666666666667,0.3258426966292135,0.5,1.0,0.5333333333333333,0.5544194756554307,0.5544194756554307,3.217677902621723
1a59e476-09b5-4731-aa7f-5379bf8999c6,360.0,0.0,0.125,0.4,0.056179775280898875,0.5,0.6666666666666667,0.6,0.420187265917603,0.420187265917603,2.680749063670412
31b83939-9663-4bad-a88c-b0bd1f3fa9f0,780.0,0.0,0.0,0.26666666666666666,0.1348314606741573,0.5,1.0,0.7333333333333334,0.5371161048689139,0.5371161048689139,3.1484644194756557
e6ee317c-7e55-41c2-88c1-cdfc8bcf79e7,540.0,0.0,0.0,0.8666666666666667,0.0898876404494382,0.5,1.0,0.1333333333333333,0.40363295880149813,0.40363295880149813,2.6145318352059927
2bc4c724-dbe1-4238-afea-843872ea3782,1620.0,0.0,0.125,0.06666666666666667,0.29213483146067415,0.5,0.6666666666666667,0.9333333333333333,0.5576404494382022,0.5576404494382022,3.230561797752809
14daff69-1d21-4b37-aa4b-cabdc6fc0510,720.0,0.0,0.125,0.06666666666666667,0.12359550561797752,0.5,0.6666666666666667,0.9333333333333333,0.5070786516853932,0.5070786516853932,3.028314606741573
1bc3f5b1-57c7-4e2c-8e9f-cb10de8a0f8f,840.0,0.0,0.125,0.4666666666666667,0.14606741573033707,0.5,0.6666666666666667,0.5333333333333333,0.4338202247191012,0.4338202247191012,2.735280898876405
254783ce-d7f9-4139-bc12-1fc5a28b35e6,1800.0,0.0,0.0,0.4666666666666667,0.3258426966292135,0.5,1.0,0.5333333333333333,0.5544194756554307,0.5544194756554307,3.217677902621723
f91adf68-dddc-4b87-9723-22a1316dc4ab,1680.0,0.0,0.0,0.4,0.30337078651685395,0.5,1.0,0.6,0.5610112359550562,0.5610112359550562,3.244044943820225
720e4982-aca8-4f3b-8dd2-e34b238c3924,1440.0,0.0,0.0,0.4,0.25842696629213485,0.5,1.0,0.6,0.5475280898876405,0.5475280898876405,3.190112359550562
d39d92a0-ca68-4b21-a371-9ad0e6be7bb2,660.0,0.0,0.0,,0.11235955056179775,0.5,1.0,,,,
0003d906-e9b1-4071-8603-cbd88d81f981,1140.0,0.0,0.0,0.6,0.20224719101123595,0.5,1.0,0.4,0.4906741573033708,0.4906741573033708,2.9626966292134833
14f86120-aed1-47ee-9cdb-3b89ad342a8b,1500.0,0.0,0.125,0.2,0.2696629213483146,0.5,0.6666666666666667,0.8,0.5242322097378278,0.5242322097378278,3.096928838951311
869aa4f6-56d6-404e-95a9-440116f9dfab,1740.0,0.0,0.0,0.2,0.3146067415730337,0.5,1.0,0.8,0.6043820224719101,0.6043820224719101,3.4175280898876403
ad1a4d7b-1bd4-46b5-be34-cc4d8dedec89,1440.0,0.0,0.0,0.2,0.25842696629213485,0.5,1.0,0.8,0.5875280898876405,0.5875280898876405,3.350112359550562
8f5789e4-f8e5-4bdc-bb55-b67370ce0c75,1860.0,0.0,0.0,0.06666666666666667,0.33707865168539325,0.5,1.0,0.9333333333333333,0.6377902621722846,0.6377902621722846,3.5511610486891385
21f09cd7-bf3e-4383-8a46-9029083ae5e2,1440.0,0.0,0.125,0.4666666666666667,0.25842696629213485,0.5,0.6666666666666667,0.5333333333333333,0.4675280898876405,0.4675280898876405,2.870112359550562
0eef81dd-1440-4428-a1da-4f22a146aba9,1740.0,0.0,0.0,0.4666666666666667,0.3146067415730337,0.5,1.0,0.5333333333333333,0.5510486891385767,0.5510486891385767,3.204194756554307
6fa082fc-3b70-48d3-8a3d-bc6b3dc36e1d,1320.0,0.0,0.0,0.2,0.23595505617977527,0.5,1.0,0.8,0.5807865168539326,0.5807865168539326,3.3231460674157303
998a176f-8c3a-4ea7-8b43-ff9fe77f0a2d,1140.0,0.0,0.125,0.13333333333333333,0.20224719101123595,0.5,0.6666666666666667,0.8666666666666667,0.5173408239700374,0.5173408239700374,3.0693632958801498
