"Question ID","Question Text","Participant ID","Thought ID","Thought Text"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","49ba27d1-2362-43ff-b645-9b9d7bbd6e28","c98bea92-4f79-4300-85ce-f9fe410507e5","I want to ask my cats, what they think about me"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","1713ff88-6967-4ec4-8edd-cf75f0601d14","abe450e2-394e-4374-af9b-9a5018fe49eb","What do you think of humans, or pet parents? "
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","b209394f-9add-487f-bb4c-7f1131c26a26","dd66f478-c6e4-4e21-9a66-717a96d1f9da","Depends on the animal. I would like to communicate with an elephant, for example, what it remembers and how it sees the world. But with dogs and cats, I would just like to understand some of the nuances of their behavior at certain moments. For example, why some dogs don’t like hugs, or why it is important for cats to enter a room and immediately leave it."
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","f5b64f36-9796-41b0-81ce-30d7f607d2e4","196d5832-5554-4128-a369-a5469d68a60d","how are you feeling today?"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","8c0f9609-5bad-4e1b-bed3-7b657aaa6e87","fb6053fd-0940-49f1-b5aa-0d31ceddaf5b","What do you think about humans?

"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","8ba532e1-02d3-4a6b-9b1e-4f015c22df31","9a993eee-960c-4ea6-9964-8ec13c6aedc5","How do you feel? How do you feel about the death of a comrade?"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","b6acc2c2-5c86-4f0f-9455-33025a7ddf02","99e05a4e-010b-4df7-b5c5-723d94fa9e36","Do you really want to be heard? Is that affecting your privacy? Should I stop listening to you?"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","2feb1778-6c5c-405b-80c8-b782ceacf2d7","a75ab6d0-f330-4a6e-bde1-94825080d92d","How they feel about us"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","b403f831-6867-4460-bc91-1deb2151d4d3","f023f3f5-b32c-45a7-820a-13c46e3bc4c5","What do you need from humans to improve living on Earth?"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","bcd7add7-f658-4651-bb65-23c27e05672d","890bbdaa-0712-4929-b13a-17d91efa1bce","What do they think of humans? I don't think we can expect a complicated answer because of the inherent differences in language and sensibilities. The more important question is, how would they respond a negative environment when asked, that alone will be a powerful motivation to help protect wildlife."
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","323963c8-4f97-490d-8fad-b2d81099fd57","c4404572-f102-4b68-8547-9b71203a3d4f","What do you see in me? What do you see in the world"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","043c6b24-97da-4b92-ab2f-adc6e196b35d","73bc6073-7122-471e-9a40-912498952476","How do you feel about the relationship between humans and nature?"
"e1eb94c0-9787-4768-98c7-e016ed32e30b","What is one question you would want to ask an animal if AI could interpret?","f89cbd2e-a22c-4a4f-86f8-dd26cff6d43f","4e64dafc-f1e8-41be-87f5-c668bc39ec74","What can I do to make you happy and free?"
