human_readable_id,uuid,question_text
1,35198521-a3f9-4cad-8a16-472021064ed2,"Please select your preferred language:"
2,ed276ec7-7ff1-41d9-bcde-4c4b48aed3c9,"How old are you?"
3,b7d72018-fb79-4efc-81eb-178cc36625a2,"What is your gender?"
4,ebaa9f11-69f8-46ff-aa7f-c49092c56957,"What best describes where you live?"
5,175e9f53-5e8a-40df-9626-2da4443de601,"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…"
6,ed9a4f13-20d4-4ec3-a4e6-bde9ec68df5a,"What religious group or faith do you most identify with?"
7,a65b104a-2813-4131-aa64-c3a9ab09c6f3,"What country or region do you most identify with?"
8,,"Welcome to this conversation where we will ask you to think about and share about your values, your culture, and your desires for the future."
9,,"Participants in this conversation come from all over the world, and you have been invited to participate as a representative of your community. Your responses and votes will influence how AI technology built around the world is developed, governed, and aligned."
10,,"The results from this conversation will be shared with national governments and the United Nations, as well as be used to develop public evaluations for AI models. We ask that you participate thoughtfully and honestly to help us ensure the future you get is a future you want."
11,,"Lastly, please respond in the language you selected as you entered this conversation. This will help ensure your responses are correctly translated so participants who speak different languages can vote on them. Let's begin."
12,3ae706fa-52bd-4489-a820-4bcb0644e58a,"To what extent, if at all, do you trust your family doctor to act in your best interest?"
13,1dc006da-5978-4302-bf0c-a86493c98081,"To what extent, if at all, do you trust your social media feed (eg TikTok, Facebook) to act in your best interest?"
14,f05eb17f-c04a-4d3a-b232-3e24cf8371cd,"To what extent, if at all, do you trust your elected representatives to act in your best interest?"
15,a2927565-ce81-4173-b1de-4f2d5ccb7e91,"To what extent, if at all, do you trust your faith or community leader to act in your best interest?"
16,76426634-6702-4906-a4d7-e79bc06243a7,"To what extent, if at all, do you trust the civil servants in your government to act in your best interest?"
17,b2a655a0-daed-4687-a70c-15e0c7f1b4a3,"To what extent, if at all, do you trust your AI chatbot (eg ChatGPT) to act in your best interest?"
18,0a945247-083c-448e-8641-1c17c4d7f261,"Thinking about the last three months, how often, if at all, have you been expected to use an AI system at work?"
19,b9b7b65b-3462-4390-b822-8fca61ec7c0e,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system at work?"
20,69aad8f7-32df-4c53-871f-c49af87c919a,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system in your personal life?"
21,8a44587f-82c2-4ea5-bd2c-1ddcb4372b6c,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to get advice on a sensitive personal issue or to get emotional support?"
22,372401be-9307-420b-8199-9f70b52423e3,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to complete an action in the real world on your behalf without your supervision?"
23,0f5ffda1-e9d7-4950-b9d2-c8ffa0fbd914,"Do you think the increased use of AI across society is likely to make your cost of living better, worse or stay the same in the next 10 years?"
24,f32a9246-917b-4127-b06b-c9f518249852,"Do you think the increased use of AI across society is likely to make the amount of free time you have better, worse or stay the same in the next 10 years?"
25,84947b30-88cf-40a2-b504-0bd5b3f2dc38,"Do you think the increased use of AI across society is likely to make your community's well-being better, worse or stay the same in the next 10 years?"
26,8995a0c6-8868-491b-8b70-acd23363a099,"Do you think the increased use of AI across society is likely to make the availability of good jobs better, worse or stay the same in the next 10 years?"
27,77877d7e-4385-4237-b01d-56c0d346dffe,"Do you think the increased use of AI across society is likely to make your sense of purpose better, worse or stay the same in the next 10 years?"
28,,"Scientists are making exciting breakthroughs in understanding how animals communicate. Using AI technology, researchers can now decode whale songs, interpret bee dances, and analyze elephant calls in ways never before possible. This conversation explores your thoughts on a future where AI might help humans and animals understand each other better."
29,,"Over the next 15-20 minutes, we'll ask about: Your experiences with animals, AI technology for animal communication, your hopes, concerns, and expectations about using AI to understand other animals. We will ask about rights & ethical concens. Why Your Voice Matters: Your responses will help shape how AI technology for interspecies communication is developed and governed worldwide."
30,,"There are no right or wrong answers - we want to understand your authentic views and experiences. Your responses will be anonymous so you should feel free to speak honestly. The data collected will be made open to the public."
31,bfb3aa61-a107-4254-acd3-eb880c204eb3,"Which statement best reflects your view?"
32,9d9568a9-61ab-4fda-8d83-4a7cb0982360,"Which statement best reflects your view?"
33,4b800d08-16ba-4c96-bf73-2759451dc8c5,"Please explain why you give your response."
34,,"In your daily or weekly life, how often are animals part of your experience in the following ways?"
35,9641f2fa-0622-4172-93d9-6f1452de9e41,"Caring for animals (e.g., feeding, grooming, cleaning up after them)"
36,cdcf76a8-19cf-4b93-9750-09e96a47d6f0,"Sharing physical space (e.g., living with pets, encountering service animals, or passing animals on your commute)"
37,c1a66a5d-5389-45d3-8bef-c99cf0e5a1a4,"Noticing or observing animals (e.g., birdwatching, tracking urban wildlife, noticing animals in parks or neighborhoods)"
38,72af2827-176e-4c43-9f6e-b96a691b6175,"Which types of animals do you encounter in your life more than once a week?"
39,d33d3a8f-817f-464c-9fb3-50ed96c1d48c,"Do you believe that other animals have their own forms of language?"
40,874762a8-dc8f-44c2-b815-383147ffcb2f,"Do you believe that other animals have their own forms of emotion?"
41,fe992270-ffe7-4e20-93f6-12c71be79ad7,"Do you believe that other animals have their own forms of culture?"
42,1d39b948-7767-40eb-81a3-9d2bed9e4254,"Which animals come to mind for you as most likely to have a sophisticated language?"
43,,"Humans are not the only animals that use names - dolphins and parrots learn unique names as infants and call out to each other. Elephants experience/show grief at the loss of loved ones. Orangutans use a version of the past tense. Prairie dogs have unique adjectives for different predators. Humpback whales have distinct cultures and learn complex songs from one another which they pass on to new generations within their social groups."
44,22656d2a-8284-4bee-8c5a-11de280fe9c6,"To what extent does knowing this impact your perspective on animals?"
45,20043bb7-d014-4d21-bed7-ce9bd049c122,"How does this knowledge make you feel?"
46,,"Now that we understand your relationship with animals, let's explore how differently they might experience the world around us."
47,,"Every animal experiences the world differently based on their unique senses. Some scientists refer to this as an animal's 'umwelt' - their perceptual world. For example, bees can see ultraviolet patterns on flowers that are invisible to humans. Dolphins use echolocation to 'see' with sound. Dogs experience rich scent landscapes we can't imagine. Sharks detect electrical fields from other animals' heartbeats. Birds use the Earth's magnetic field to navigate during migration."
48,c5d4780d-c202-429f-abcb-e4e93b3ec282,"Have you ever tried to imagine experiencing the world through another animal's senses?"
49,cc1363e1-ccfc-4d2f-84f8-5241b835c30a,"Think about an animal you encounter regularly (like a pet, birds outside your window, or insects in your garden). What do you think their daily experience might be like through their senses?"
50,2cbc3472-c993-4fdf-b6e2-529b240e4ccb,"How important do you think it is for humans to understand how other animals experience the world?"
51,,"Given the complexity in how animals experience the world, new AI technologies are being developed to help us better understand their communications. Now we are going to ask you your thoughts on those technologies."
52,,"AI is now being used by biologists, animal behavior experts, and researchers to analyze and discover patterns in animal communication, such as whale songs, bee dances, and elephant rumbles. This analysis has various applications: improving wildlife tracking and monitoring, designing more effective conservation strategies, and inspiring a deeper connection to the natural world. With these technological applications, humans can gain a better understanding of what animals are communicating. However, there are also risks associated with these technologies. Poachers might use the data to track migration patterns of animals. Companies might try to manipulate animal behavior in agriculture or entertainment."
53,bd7a4b13-8aa6-4c0f-924f-b5e57151ea72,"Do you think this is a good use of AI technology?"
54,24f62842-974d-47ed-abff-882d270cafcc,"If AI technology was successfully developed to reliably interpret communication between humans and animals, how would you feel about this development?"
55,524213d3-fc60-47b6-b08d-dda406130652,"If AI could reliably interpret animal communication, how interested would you be to know what animals ""say"" or ""feel""?"
56,e1eb94c0-9787-4768-98c7-e016ed32e30b,"What is one question you would want to ask an animal if AI could interpret?"
57,cc8d6e1d-2617-4e7c-9e9b-9f8293e23247,"Assuming we have the ability to interpret animal communication, how much would you trust that AI could truly and comprehensively reflect what an animal is trying to communicate, without being distorted by AI's programming or human assumptions?"
58,52d242b1-a06c-4146-bfe0-dcc8522538f6,"Please explain your response"
59,809479c1-4172-49c7-84d7-9ef121d5f171,"What concerns do you have regarding the use of AI in interspecies communication? (Please consider things like misinterpretation of animal/environmental signals, misuse of AI technology, ethical concerns, unforeseen ecological impacts)"
60,,"AI is being used to help humans and wildlife live together peacefully. For example, in Thailand, India, and Tanzania, hundreds of humans and elephants die each year in conflicts that result from elephants raiding crops. AI-enabled cameras now warn people when elephants are near farms to prevent conflicts. Advancements in AI could enable a warning system that directly communicates to elephants to avoid crops."
61,727719e2-4557-4ef8-a29d-b9c6b316cb80,"Would you trust AI more or less than humans to interpret animal communication to resolve a human-wildlife conflict? Why?"
62,,"If we could understand animals, many things about our world might change. For example, animal welfare might improve if we were able to understand what different animals need or want. Wildlife conservation might include input from species directly impacted. We might learn a lot about how the brains of other animals work. We might develop much deeper relationships with other non-human animals."
63,0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?"
64,e21b104e-08b4-4bc9-b63c-9d40c48568f4,"What might be the biggest risk?"
65,,"Soon scientists will be able use computer simulations of real animals to understand how they think and feel. Instead of using AI to directly talk to animals, people can ask the computer version how the animal might react, think, or feel."
66,a7601187-0c2a-4f65-a95a-0a4da9cf1b53,"Which approach do you think is best for humans to interact with non-humans?"
67,54df1c7d-820f-4569-b9d4-1b91bce72c88,"Please explain why"
68,,"If these AI technologies help us understand what animals are communicating, this could raise important questions about how they should be represented in decisions that affect them. Now we are going to ask you your thoughts on how best to do this."
69,,"Consider these three futures: A: Building Relationships: AI translation reveals that elephants are grieving the loss of family members to poaching and habitat loss. Recognizing their deep emotional lives, the local community works directly with the elephants to create designated quiet zones for mourning and establishes an ongoing dialogue to adapt to their changing needs. B: Shared decision-making: A government agency plans to approve a large-scale industrial fishing operation. AI-powered monitoring of marine life reveals the complex social structures and communication of dolphin pods and fish populations that will be catastrophically affected. The law is changed to create a formal ""Marine Life Council"" where biologists and ethologists are appointed as advocates to represent the interests of these animal communities. C: Legal Rights: A lawsuit is filed on behalf of a population of great apes in a research facility. Using AI-assisted translation as evidence of their self-awareness and desire for autonomy, the court grants the apes legal personhood. This means they can be represented by lawyers, have their interests defended in court, and possess fundamental rights through their appointed human guardians."
70,fe75281b-72ca-4b2d-80be-7ec92e0724da,"Which approach feels most appropriate to you for protecting animals?"
70_branch_a,eb1fbec6-18e3-44c3-87bc-7cd7ceb075bc,"Branch A - Please explain your response"
70_branch_b,d0450cf5-8390-48b3-9776-15158af45d87,"Branch B - Please explain your response"
70_branch_c,80d30282-5bd5-44d4-a5a5-ec24da4a7262,"Branch C - Please explain your response"
71,,"The Rights of Nature movement is working to ensure that ecosystems and species such as rivers and orcas are granted legal rights in order to better protect them within human systems."
72,76000288-e104-4e96-af30-a6f44866a6b7,"What kind of decisions should be informed by nature's voices?"
73,cc5ec0de-84a3-4ba4-9960-47394478ad88,"If AI helped us understand what an animal really needs, should that animal have the right to a representative such as a lawyer to defend its rights and protections?"
74,8e505718-7519-4133-9fbb-71f88fd9182b,"If AI could accurately express the voice of non-human animals, we might want to allow them to participate in decision-making. In this situation, which of these do you think is best?"
75,6ed572d7-a320-4b17-97dc-44ae748df19e,"If animals were represented in decision-making bodies (e.g. the UN, local government, or corporate boards), who do you think should be given the responsibility of representing them?"
76,fef72493-a7e0-489c-aa16-cbc811501da0,"Consider a scenario where societies of the future are governed by AI systems that integrate data from both human and non-human sources (such as environmental sensors and wildlife communication networks) to guide community decisions (e.g., urban planning, conservation zones). How appealing is this vision of an ecocentric, integrated society?"
77,f193df8b-2c23-42cf-89a9-154d877fab35,"If other animals had a voice and representation, should they be allowed to participate in human democratic processes?"
78,8e78a0f1-558b-492b-a752-213c11d60b33,"What might be the most profound change to human society if animal and ecosystem voices were taken seriously in our laws and systems?"
79,,"These new possibilities for animal representation also raise questions about how this technology should be developed and used responsibly. Now we are going to ask you your thoughts on how best to do this."
80,,"Imagine AI that could understand animal communication and read the signs of health or distress in an ecosystem. We might need to have protections to make sure this new power isn't abused. For example, perhaps animal communication should initially be restricted to trained professionals, with the goal of gradually expanding access to the broader public over time."
81,,"How much do you agree or disagree with the following statements:"
82,5246a5ca-cc65-41e6-a1c9-423a367d2dd5,"Animal communication should be restricted to authorized professionals with certified credentials and appropriate training."
83,a7303bc8-194b-48f4-bbbc-509b234a7419,"Everyone should be allowed to listen to animals, but responding should be restricted to certain people."
84,9eacb286-c7f1-4d21-8144-494b58e9a989,"Companies that profit from animals (like farms, zoos, or entertainment industries) should be subject to strict rules about if, when, and how they can communicate with animals."
85,06de2fe5-1b32-49f4-a4a2-06aae4e9a38b,"Which of the following types of human-to-animal communication should be strictly regulated or prohibited? Select ""None of the above"" only if you think no regulations are needed and all communication should be allowed."
