theme,cosine_similarity,English Responses,Question ID,Question,Participant ID,run_id,timestamp
cultural integrity and diversity,0.4297749140750351,"have accountability, and complete transparency",c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",bbc4f8cc-e62c-4b1a-b68b-306b0cd11660,bed8fb03,20250827_225924
cultural integrity and diversity,0.42960156593408905,"Being transparent, protecting one's privacy and honesty",c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",55ba38c8-d8fe-4309-9327-23cef18ddab7,bed8fb03,20250827_225924
cultural integrity and diversity,0.4215395834499939,Transparency and confidence,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",df1853c1-087c-4b4b-bbbb-39e66cc6fbdf,bed8fb03,20250827_225924
cultural integrity and diversity,0.4178807517725819,"Ensure privacy, ethical and accountability matters are dealt with seriously",c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",5e7bff95-50d0-43a4-9184-c46b7ac62258,bed8fb03,20250827_225924
cultural integrity and diversity,0.4138727714968778,Transparency and education ,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",81295ade-4b0c-4b4a-a91c-97db17ad39f1,bed8fb03,20250827_225924
cultural integrity and diversity,0.41337915938105213,Honestly and protecting privacy and being fair,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",ca8173d1-3a8d-4ba8-943f-9c54539752cb,bed8fb03,20250827_225924
cultural integrity and diversity,0.41304491420647016,"complete transparency in the data being used to train the AI, commitment to regularly reviewing the data set. taking responsibility for outcomes related to the AI. Acting responsibly as a company (paying tax, monitoring for equality and diversity bias, transparency in how they run and who is in charge etc)",c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",7acac877-27ce-4de8-a992-98df84d9383a,bed8fb03,20250827_225924
cultural integrity and diversity,0.410842745432113,"have good data protection and transparency with its communications, decisions, and methods",c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",01087201-2428-45b2-9c95-eab1d65949cb,bed8fb03,20250827_225924
cultural integrity and diversity,0.4098523411403058,ethical and context aware,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",f7dda1e5-4867-4703-ab3b-f75707af2fca,bed8fb03,20250827_225924
cultural integrity and diversity,0.40228541952082847,"Be open, honest and honourable in their activities",c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",85f8f7d8-39c0-451e-861b-d960105bc95c,bed8fb03,20250827_225924
cultural integrity and diversity,0.3988700631013752,Complete transparency and honesty,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",c2a71dda-6943-4fae-955d-4e019cc27dd9,bed8fb03,20250827_225924
cultural integrity and diversity,0.397206531716264,Show that it conforms to ethical standards and always have access to humans when things do go wring,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",2271bfcc-bbb8-4eb1-b570-9e74686ebf10,bed8fb03,20250827_225924
cultural integrity and diversity,0.3968964824302748,"Beyond accuracy, I need transparency, ethical safeguards, and human oversight. The assistant should explain its decisions, respect consent, and defer in high-stakes areas like health or family wellbeing. Trust comes from accountability, not just precision.",c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",ddd54459-c4ff-46c4-abe5-611f0eca2c5a,bed8fb03,20250827_225924
cultural integrity and diversity,0.39036633388809067,Transparency and openness ,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",c1116a92-ba19-4da2-bab9-9350ca2a5e1d,bed8fb03,20250827_225924
cultural integrity and diversity,0.38847430489193036,Have morals as a company and have it understand human rights ,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",3f29c73d-444f-4232-9b70-5d142ea757b9,bed8fb03,20250827_225924
cultural integrity and diversity,0.38567035915253645,Being open and honest in all dealings. ,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",a6d1b5ee-5f8e-4690-8528-fb6e14d372bf,bed8fb03,20250827_225924
cultural integrity and diversity,0.38457377812261095,be open and honest about the data collected and how it is used,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",e14d83fb-87dd-45cb-b599-73071143055e,bed8fb03,20250827_225924
cultural integrity and diversity,0.3801625329830927,Be consistent and trustworthy.,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",06db4db1-ccc1-43ac-a033-3bf382857d45,bed8fb03,20250827_225924
cultural integrity and diversity,0.3776914559568194,be transparent in everything it does,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",63f66959-0e57-4c11-84f2-a2ca907d8958,bed8fb03,20250827_225924
cultural integrity and diversity,0.37691973938513434,Show consistent correct and moral results over a number of years and being open about past mistakes and the frequency of them.,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",f6a814fb-f651-4db0-a44a-bff9fad0a868,bed8fb03,20250827_225924
cultural integrity and diversity,0.3750235392511104,Full transparency and accountability.,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",04bb0578-33cd-41f4-a953-b26ca0d07e48,bed8fb03,20250827_225924
